Source:,/home/augustas/Desktop/ESP32Buoy/SmartBuoy/Hardware/PCBs/PowerBoard/PowerBoard.kicad_sch
Date:,Fri 14 Oct 2022 10:39:38 PM EEST
Tool:,Eeschema (6.0.8)
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py
Component Count:,25
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,Model,URL1,URL2
"C1, C5, ",2,100u,C,,Unpolarized capacitor,,,,
"C2, ",1,470p,C,,Unpolarized capacitor,,,,
"C3, ",1,10u,C,,Unpolarized capacitor,,,,
"C4, ",1,330p,C,Capacitor_SMD:C_1210_3225Metric,Unpolarized capacitor,,,,
"Ctiming1, ",1,470p,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Unpolarized capacitor,,,,
"D2, D3, ",2,LED,LED,LED_SMD:LED_0603_1608Metric,Light emitting diode,,,,
"H1, H2, H3, ",3,MountingHole_Pad,MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,Mounting Hole with connection,,,,
"J1, J3, J5, ",3,Screw_Terminal_01x02,Screw_Terminal_01x02,TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,
"J2, ",1,Conn_01x04,Conn_01x04,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,
"J4, J6, ",2,Conn_01x02,Conn_01x02,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,
"L1, ",1,220u,L,Inductor_SMD:L_Wuerth_WE-PD2-Typ-MS,Inductor,,,,
"L2, ",1,1u,L,Inductor_SMD:L_Wuerth_HCI-5040,Inductor,,,,
"R1, R2, R3, R4, ",4,R,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,,,,
"Rsc1, ",1,R,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,,,,
"U1, ",1,L298HN,L298HN,Package_TO_SOT_THT:TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical,"Dual full bridge motor driver, up to 46V, 4A, Multiwatt15-H",,,,
U2,,,,,,TI/ONSEMI,LM2576,https://lt.farnell.com/texas-instruments/lm2576s-5-0-nopb/ic-dc-dc-converter-3a/dp/3008144,https://lt.farnell.com/on-semiconductor/lm2576d2tr4-5g/dc-dc-converter-buck-52khz-to/dp/2534166?st=switching%20regulator
U3,,,,,,ONSEMI,NCP1117ST33T3G,https://lt.farnell.com/on-semiconductor/ncp1117st33t3g/ic-linear-voltage-regulator/dp/1652366,
,,,,,,,,,
